26-06-2015 11:42:48,665 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:42:48,686 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 11:42:48,704 [main] INFO  - Started ServerConnector@2256deba{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:42:48,704 [main] INFO  - Started @290ms
26-06-2015 11:48:29,999 [main] INFO  - Logging initialized @157ms
26-06-2015 11:48:30,072 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:48:30,091 [main] INFO  - Started o.e.j.s.h.ContextHandler@54bb473b{/static,null,AVAILABLE}
26-06-2015 11:48:30,114 [main] INFO  - Started ServerConnector@65693ccc{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:48:30,115 [main] INFO  - Started @278ms
26-06-2015 11:50:16,433 [main] INFO  - Logging initialized @145ms
26-06-2015 11:50:16,500 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:50:16,515 [main] INFO  - Started o.e.j.s.h.ContextHandler@77663cf4{/static,null,AVAILABLE}
26-06-2015 11:50:16,533 [main] INFO  - Started ServerConnector@61f3318a{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:50:16,533 [main] INFO  - Started @250ms
26-06-2015 11:50:17,877 [main] INFO  - Logging initialized @1069ms
26-06-2015 11:50:17,940 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:50:17,953 [main] INFO  - Started o.e.j.s.h.ContextHandler@1c9f6ece{/static,null,AVAILABLE}
26-06-2015 11:50:17,970 [main] INFO  - Started ServerConnector@42a4441e{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:17,970 [main] INFO  - Started @1164ms
26-06-2015 11:50:18,329 [main] INFO  - Stopped ServerConnector@42a4441e{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,330 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1c9f6ece{/static,null,UNAVAILABLE}
26-06-2015 11:50:18,336 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:50:18,337 [main] INFO  - Started o.e.j.s.h.ContextHandler@1d88031d{/static,null,AVAILABLE}
26-06-2015 11:50:18,338 [main] INFO  - Started ServerConnector@bdfedaf{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,338 [main] INFO  - Started @1532ms
26-06-2015 11:50:18,353 [main] INFO  - Stopped ServerConnector@bdfedaf{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,353 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1d88031d{/static,null,UNAVAILABLE}
26-06-2015 11:50:18,355 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:50:18,356 [main] INFO  - Started o.e.j.s.h.ContextHandler@5bcc5d5a{/static,null,AVAILABLE}
26-06-2015 11:50:18,357 [main] INFO  - Started ServerConnector@5fa69971{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,357 [main] INFO  - Started @1551ms
26-06-2015 11:50:18,370 [main] INFO  - Stopped ServerConnector@5fa69971{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,370 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@5bcc5d5a{/static,null,UNAVAILABLE}
26-06-2015 11:50:18,372 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:50:18,373 [main] INFO  - Started o.e.j.s.h.ContextHandler@4721e1bb{/static,null,AVAILABLE}
26-06-2015 11:50:18,373 [main] INFO  - Started ServerConnector@fb728a9{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,374 [main] INFO  - Started @1567ms
26-06-2015 11:50:18,383 [main] INFO  - Stopped ServerConnector@fb728a9{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:50:18,384 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@4721e1bb{/static,null,UNAVAILABLE}
26-06-2015 11:50:18,386 [main] INFO  - jetty-9.2.z-SNAPSHOT
